epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,lr
1,1.025471679444583,0.6464791105121294,0.9752150373832852,0.600392156862745,0.5771385090125004,0.0002967221401100708
2,0.7446574664340829,0.7276785714285714,0.8527725669916938,0.652156862745098,0.6331148694840248,0.0002870318186463901
3,0.6466416276368812,0.7575808625336927,0.8085672023249607,0.6615686274509804,0.6397674139931332,0.0002713525491562421
4,0.35832183030898357,0.8696091644204852,0.34432935526557995,0.8549019607843137,0.8547693906628413,2.9488887394336022e-05
5,0.182684733067963,0.9330357142857143,0.22709950236128826,0.9066666666666666,0.9090071843139083,2.7990381056766583e-05
6,0.1224218147663736,0.9554413746630728,0.16108569548994886,0.94,0.942635293260661,2.5606601717798212e-05
7,0.09382984361603776,0.9658018867924528,0.13054795227214402,0.9537254901960784,0.9570743048414867,2.25e-05
8,0.07499313888684758,0.9734669811320755,0.10406448203559016,0.9576470588235294,0.9606262646484629,1.888228567653781e-05
9,0.05977822545253122,0.9797001347708895,0.09129853957131798,0.9662745098039216,0.9665511805706998,1.5e-05
10,0.0493632952426623,0.9825640161725068,0.07548860369944105,0.9725490196078431,0.9739694856522262,1.1117714323462191e-05
11,0.045012406659038925,0.9835747978436657,0.07091941841384944,0.976078431372549,0.9772266496803882,7.500000000000004e-06
12,0.03661060388102083,0.987533692722372,0.06861038055636134,0.9737254901960785,0.9742582170652874,4.393398282201788e-06
13,0.036951325443445274,0.9868598382749326,0.06437556863707655,0.9776470588235294,0.9787888012032074,2.0096189432334194e-06
14,0.03378571017433179,0.9879548517520216,0.060583338551953726,0.9749019607843137,0.9745471387258727,5.11112605663977e-07
15,0.03306507648940316,0.9897237196765498,0.05845471578193646,0.9796078431372549,0.9806899970167704,0.0
